       Wavelength             Transmission
2.039007801560312139e+00 8.570110400332812614e-03
2.039507901580316140e+00 8.570105500769274742e-03
2.040008001600320142e+00 8.570100648060225909e-03
2.040508101620324144e+00 8.570095842418381377e-03
2.041008201640328146e+00 8.570091075174592413e-03
2.041508301660332148e+00 8.570086352368139204e-03
2.042008401680336149e+00 8.570081673016033755e-03
2.042508501700340151e+00 8.570077023872944150e-03
2.043008601720344153e+00 8.570072408990958915e-03
2.043508701740348155e+00 8.570067824070812246e-03
2.044008801760352156e+00 8.570063266625141396e-03
2.044508901780356158e+00 8.570058734395008537e-03
2.045009001800360160e+00 8.570054226411490811e-03
2.045509101820364162e+00 8.570049740118801038e-03
2.046009201840368164e+00 8.570045269309255545e-03
2.046509301860372165e+00 8.570040811605261419e-03
2.047009401880376167e+00 8.570036367204549380e-03
2.047509501900380169e+00 8.570031935442253695e-03
2.048009601920384171e+00 8.570027510139553023e-03
2.048509701940388172e+00 8.570023094728122445e-03
2.049009801960392174e+00 8.570018678596405190e-03
2.049509901980396176e+00 8.570014263884852268e-03
2.050010002000400178e+00 8.570009850501896301e-03
2.050510102020404180e+00 8.570005427702505688e-03
2.051010202040408181e+00 8.570000996523602713e-03
2.051510302060412183e+00 8.569996560693893956e-03
2.052010402080416185e+00 8.569992116045380137e-03
2.052510502100420187e+00 8.569987653408311229e-03
2.053010602120424188e+00 8.569983177915111230e-03
2.053510702140428190e+00 8.569978681454908792e-03
2.054010802160432192e+00 8.569974165370307026e-03
2.054510902180436194e+00 8.569969627117883862e-03
2.055011002200440196e+00 8.569965065891395339e-03
2.055511102220444197e+00 8.569960478403063422e-03
2.056011202240448199e+00 8.569955864459825531e-03
2.056511302260452201e+00 8.569951224503925130e-03
2.057011402280456203e+00 8.569946561255857923e-03
2.057511502300460204e+00 8.569941859603552592e-03
2.058011602320464206e+00 8.569937124186747385e-03
2.058511702340468208e+00 8.569932351080347677e-03
2.059011802360472210e+00 8.569927542925553227e-03
2.059511902380476212e+00 8.569922698477909842e-03
2.060012002400480213e+00 8.569917814601977699e-03
2.060512102420484215e+00 8.569912894047201565e-03
2.061012202440488217e+00 8.569907940552524625e-03
2.061512302460492219e+00 8.569902942253307399e-03
2.062012402480496220e+00 8.569897903143372520e-03
2.062512502500500222e+00 8.569892823898243861e-03
2.063012602520504224e+00 8.569887695653793241e-03
2.063512702540508226e+00 8.569882538474323311e-03
2.064012802560512228e+00 8.569877329737707675e-03
2.064512902580516229e+00 8.569872080103332901e-03
2.065013002600520231e+00 8.569866784436460869e-03
2.065513102620524233e+00 8.569861451789170109e-03
2.066013202640528235e+00 8.569856081243939355e-03
2.066513302660532236e+00 8.569850670001486967e-03
2.067013402680536238e+00 8.569845211181684533e-03
2.067513502700540240e+00 8.569839716681305550e-03
2.068013602720544242e+00 8.569834186823103994e-03
2.068513702740548243e+00 8.569828621168765551e-03
2.069013802760552245e+00 8.569823010450188308e-03
2.069513902780556247e+00 8.569817366020046276e-03
2.070014002800560249e+00 8.569811682707650924e-03
2.070514102820564251e+00 8.569805969612881089e-03
2.071014202840568252e+00 8.569800221353627082e-03
2.071514302860572254e+00 8.569794436107121272e-03
2.072014402880576256e+00 8.569788622321633520e-03
2.072514502900580258e+00 8.569782786075849992e-03
2.073014602920584259e+00 8.569776909764993678e-03
2.073514702940588261e+00 8.569771014101775636e-03
2.074014802960592263e+00 8.569765087952348551e-03
2.074514902980596265e+00 8.569759136287288456e-03
2.075015003000600267e+00 8.569753160460592128e-03
2.075515103020604268e+00 8.569747165175041134e-03
2.076015203040608270e+00 8.569741139900347027e-03
2.076515303060612272e+00 8.569735093781047364e-03
2.077015403080616274e+00 8.569729027860488110e-03
2.077515503100620275e+00 8.569722942018445991e-03
2.078015603120624277e+00 8.569716840145374936e-03
2.078515703140628279e+00 8.569710719580903024e-03
2.079015803160632281e+00 8.569704580343798228e-03
2.079515903180636283e+00 8.569698419716491322e-03
2.080016003200640284e+00 8.569692240077305539e-03
2.080516103220644286e+00 8.569686047493843897e-03
2.081016203240648288e+00 8.569679833842387684e-03
2.081516303260652290e+00 8.569673614740827561e-03
2.082016403280656291e+00 8.569667376129963543e-03
2.082516503300660293e+00 8.569661120461398787e-03
2.083016603320664295e+00 8.569654847186813224e-03
2.083516703340668297e+00 8.569648555592182526e-03
2.084016803360672299e+00 8.569642244298387654e-03
2.084516903380676300e+00 8.569635923969653318e-03
2.085017003400680302e+00 8.569629574992141188e-03
2.085517103420684304e+00 8.569623213939839973e-03
2.086017203440688306e+00 8.569616829898943355e-03
2.086517303460692307e+00 8.569610422947245010e-03
2.087017403480696309e+00 8.569603997028309161e-03
2.087517503500700311e+00 8.569597543807472989e-03
2.088017603520704313e+00 8.569591076130008214e-03
2.088517703540708315e+00 8.569584576203277682e-03
2.089017803560712316e+00 8.569578060082291143e-03
2.089517903580716318e+00 8.569571506359225169e-03
2.090018003600720320e+00 8.569564930055836166e-03
2.090518103620724322e+00 8.569558326454678951e-03
2.091018203640728323e+00 8.569551686829103912e-03
2.091518303660732325e+00 8.569545005141338337e-03
2.092018403680736327e+00 8.569538302350142994e-03
2.092518503700740329e+00 8.569531557751104006e-03
2.093018603720744331e+00 8.569524777210570446e-03
2.093518703740748332e+00 8.569517949834843176e-03
2.094018803760752334e+00 8.569511079969166847e-03
2.094518903780756336e+00 8.569504164549726632e-03
2.095019003800760338e+00 8.569497200327997818e-03
